subsystem,feature,c_reference,rust_reference,status,notes
settings,psync_set_int_value,pclsync/psynclib.h:939,crates/pcloud-store/src/repositories/values.rs,Implemented,"ValuesRepository::set_int; SDK EmbeddedDaemon::set_int_value; IPC Request::ValueSet(Int)"
settings,psync_get_uint_value,pclsync/psynclib.h:940,crates/pcloud-store/src/repositories/values.rs,Implemented,"ValuesRepository::get_uint; SDK EmbeddedDaemon::get_uint_value; IPC Request::ValueGet(Uint)"
settings,psync_set_uint_value,pclsync/psynclib.h:941,crates/pcloud-store/src/repositories/values.rs,Implemented,"ValuesRepository::set_uint; SDK EmbeddedDaemon::set_uint_value; IPC Request::ValueSet(Uint)"
settings,psync_get_string_value,pclsync/psynclib.h:942,crates/pcloud-store/src/repositories/values.rs,Implemented,"ValuesRepository::get_string; SDK EmbeddedDaemon::get_string_value; returns owned Option<String>"
settings,psync_set_string_value,pclsync/psynclib.h:943,crates/pcloud-store/src/repositories/values.rs,Implemented,"ValuesRepository::set_string; SDK EmbeddedDaemon::set_string_value; IPC Request::ValueSet(String)"
sync,psync_start_sync,pclsync/psynclib.h:549,crates/pcloud-engine/src/reconcile_worker.rs,Implemented,"ReconcileWorker (pcloud-engine/src/reconcile_worker.rs) runs a continuous localscan cadence (300s default) with injected pcloud_resilience Clock; track/untrack per SyncId mirrors C psync_syncer_thread (pclsync/psyncer.c). Unit tests with ManualClock prove first-tick fires, idles below threshold, fires after threshold, untrack drops roots, request_scan forces next tick. Daemon wiring via runtime.rs handle_sync_root_add; change-event reaction via FsEventIngestor + DiffWorker (row 75). Retry/backoff parity uses pcloud_resilience RetryPolicy in DiffWorker. bd-1du.3 tracks remaining fuller engine semantics (deep root-level lifecycle edge cases)."
sync,psync_change_synctype,pclsync/psynclib.h:702,crates/pcloud-daemon/src/runtime.rs,Implemented,"SyncRootChangeType IPC persists SyncType via schema v6 and evicts queued work"
sync,psync_delete_sync,pclsync/psynclib.h:703,crates/pcloud-daemon/src/runtime.rs,Implemented,"sync-remove evicts scheduler/uploads/downloads and drops staged cache prefixed by the removed root"
sync,psync_pause_resume_root,pclsync/psynclib.h:702,crates/pcloud-daemon/src/runtime.rs,Implemented,"SyncRootPause/SyncRootResume persist paused flag and stop scheduling per root"
sync,psync_get_sync_suggestions,pclsync/psynclib.h:705,crates/pcloud-backends/src/sync_suggest.rs,Implemented,"extension-weighted scorer ported from pclsync/psuggest.c with identical extension table (166 entries) character map and thresholds (MIN_FILES=25 PERCENT=80 MAX_SUGGESTIONS=6); adds bounded traversal (depth=16 entries=200k) and deterministic ordering not present in C"
sync,psync_is_folder_syncable,pclsync/psynclib.h:708,crates/pcloud-backends/src/sync_backend.rs,Implemented,"nested-root/mount/ignore classification implemented with auto-discovery: pcloud-daemon/src/mount_discovery.rs parses /proc/self/mountinfo (TTL-cached) for pCloud-drive and virtual-filesystem mounts; default ignore-path list covers /proc /sys /dev /run /snap and flatpak/systemd runtime dirs; FolderSyncabilityOverrides preserves the legacy explicit-list call shape for tests; DB lookup mirrored against persisted sync roots"
sync,psync_pause,pclsync/psynclib.h:769,crates/pcloud-daemon/src/runtime.rs:868,Implemented,"daemon-wide pause handler pause_sync() sets SyncState::Paused; dispatched from Method::PauseSync at runtime.rs:144; CLI `sync pause`/`s pause` route here (matches C SYNCPAUSE). Wave-5 contradiction fix."
sync,psync_stop,pclsync/psynclib.h:770,crates/pcloud-daemon/src/runtime.rs,Implemented,"shutdown path"
sync,psync_resume,pclsync/psynclib.h:771,crates/pcloud-daemon/src/runtime.rs:877,Implemented,"daemon-wide resume handler resume_sync() sets SyncState::Steady; dispatched from Method::ResumeSync at runtime.rs:145; CLI `sync resume`/`s resume` route here (matches C SYNCRESUME). Wave-5 contradiction fix."
sync,psync_run_localscan,pclsync/psynclib.h:778,crates/pcloud-engine/src/lib.rs:91 / crates/pcloud-daemon/src/runtime.rs:475 / crates/pcloud-sdk/src/lib.rs:927 / crates/pcloud-cli/src/commands.rs:399,Implemented,"EngineShell::wake_localscan bumps an in-memory wake counter that mirrors the wake-side of C psync_wake_localscan (plocalscan.c:1065). Daemon Request::RunLocalScan dispatches to the engine and emits a sync.localscan.wake audit entry with the counter value. SDK EmbeddedDaemon::run_localscan returns the new counter for observation. CLI `pcloud-rs sync localscan` / `localscan` / `sync-localscan`. Tests: run_localscan_signals_engine_wake_counter (daemon), run_localscan_helper_bumps_engine_counter (sdk), sync_localscan_two_token_and_single_token_resolve (cli). The actual scan loop is still pending Agent A (bd-1du.3/4) parity work; the wake signal is the directly-retained surface that psync_run_localscan exposes in C."
sync,diff polling,pclsync/pdiff.c,crates/pcloud-backends/src/sync_backend.rs,Implemented,"DiffWorker (pcloud-backends/src/sync_backend.rs) runs a continuous diff loop: calls SyncApi::diff with persisted diffid cursor (sync_diff_state table via DiffStateRepository, pcloud-store/src/repositories/diff_state.rs), advances and persists the cursor on each productive reply, backs off via pcloud_resilience RetryPolicy (ExponentialJittered base=500ms max=60s) on transport failures, and adapts inter-poll wait between PDIFF_INITIAL_TIMEOUT (30s) and PDIFF_MAX_TIMEOUT (60s) matching C PSYNC_SLEEP_BEFORE_RECONNECT*12. Event subtypes are routed through DiffEventDispatcher (pcloud-engine/src/diff_events.rs) which mirrors C event_list[] (pdiff.c:2515): file/folder CRUD to filesystem handler (full), share/business-share/crypto/account subtypes to typed hooks (stubs for share/crypto backends). Auth tokens are SecretString and zeroized on drop. Injected Clock tests (ManualClock) prove first_tick advances diffid, restart restores persisted diffid, worker idles within negotiated timeout, dispatcher routes share vs crypto subtypes."
fs,psync_stat_path,pclsync/psynclib.h:743,"crates/pcloud-daemon/src/runtime.rs + crates/pcloud-store/src/repositories/file_metadata.rs + crates/pcloud-cli/src/app.rs + crates/pcloud-ipc/src/methods.rs",Implemented,"C psync_stat_path (pfolder.c:734) resolves a remote path against the local SQLite folder/file metadata cache populated by the diff engine. The Rust implementation now mirrors this: schema v11 adds a file_metadata table (file_id, parent_folder_id, name, size, hash, modified, created, is_folder) with a composite index on (parent_folder_id, name). The diff engine sync loop (sync_loop_runtime.rs) persists file/folder metadata from remote diff batches into this table as entries arrive. RuntimeShell::stat_path (runtime.rs) queries the local cache first via FileMetadataRepository::resolve_path (hierarchical path walk through parent_folder_id + name lookups), falls back to the API via RemotePathResolver on cache miss. Full IPC surface: Request::StatPath + Method::StatPath + StatPathPayload (with source=cache|api). CLI: pcloudc stat <path>. Tests: 6 repository tests (upsert, list_children, resolve_path hierarchy, delete, delete_children, get_by_parent_and_name)."
fs,psync_get_fsfolderid_by_path,pclsync/psynclib.h:744,crates/pcloud-backends/src/path_resolver.rs:263 (RemotePathResolver::get_folder_id_by_path) + crates/pcloud-daemon/src/runtime.rs (Request::GetFolderIdByPath) + crates/pcloud-sdk/src/lib.rs (EmbeddedDaemon::get_folder_id_by_path) + crates/pcloud-cli/src/app.rs (folder id),Implemented,"C at psynclib.c:2170 resolves a fs path via local folder cache. The Rust active path walks the canonical drive via authenticated `listfolder` (pcloud_proto::folder_api::FolderApi::list_folder_contents_by_path) so it never fabricates the PSYNC_INVALID_FSFOLDERID (0) sentinel on miss — typed PathResolveError instead. Auth token wrapped in SecretString (zeroised on drop); cache keys use sha256(token) fingerprint; IPC handler returns Unauthorized when no session and InvalidRequest on empty path. Tests: path_resolver::tests::resolves_two_segment_folder_path / resolves_four_segment_file_path / not_found_segment_errors_explicitly / ambiguous_entries_are_rejected / transport_2005_surfaces_as_not_found / successful_resolution_is_cached; daemon tests::path_resolver_public_helpers_use_mocked_listfolder + get_folder_id_by_path_rejects_{missing_auth,empty_path}; sdk tests::folder_metadata_helpers_*; cli tests::folder_id_two_token_resolves_to_get_folder_id_by_path_request."
fs,psync_get_fsfolderflags_by_id,pclsync/psynclib.h:747,crates/pcloud-backends/src/path_resolver.rs:275 (RemotePathResolver::get_folder_flags + FolderFlags) + crates/pcloud-daemon/src/runtime.rs (Request::GetFolderFlags) + crates/pcloud-sdk/src/lib.rs (EmbeddedDaemon::get_folder_flags + FolderFlagsInfo) + crates/pcloud-cli/src/app.rs (folder flags),Implemented,"C at psynclib.c:2176 reads flags + permissions (pfs_fldr_idperm_by_path pfsfolder.c:342) from the local folder cache. The Rust active path resolves through `listfolder` and decodes `permissions` (PSYNC_PERM_* bitmap from canread/canmodify/cancreate/candelete/canmanage; pfileops.c:91), `encrypted` (PSYNC_FOLDER_FLAG_ENCRYPTED pfoldersync.h:47), `isshared`, and derived `readonly` (write caps all cleared). Auth token wrapped in SecretString (zeroised on drop). Tests: daemon tests::path_resolver_public_helpers_use_mocked_listfolder (end-to-end flags decode), daemon tests::get_folder_flags_rejects_missing_auth, sdk tests::folder_metadata_helpers_*, cli tests::folder_flags_two_token_forwards_path."
fs,psync_is_lname_to_ignore,pclsync/psynclib.h:749,crates/pcloud-backends/src/ignore_patterns.rs:192 (is_name_ignored),Implemented,"Ports psync_match_pattern (pclsync/plibs.c:136) and the C ignorepatterns iterator (psynclib.c:815) iteratively with backtracking. Patterns sourced via pcloud-store handle_settings_kv get_string(ignorepatterns); DEFAULT_IGNORE_PATTERNS_STR mirrors PSYNC_IGNORE_PATTERNS_DEFAULT (psettings.h:241). Adds optional [abc]/[!abc]/[a-z] character-class superset (no regression for star/question semantics)."
fs,psync_is_name_to_ignore,pclsync/psynclib.h:750,crates/pcloud-backends/src/ignore_patterns.rs:192 (is_name_ignored) and :220 (is_local_path_ignored),Implemented,"Thin wrapper parity with psynclib.c:861 — callers pass the bare name to is_name_ignored or a local path to is_local_path_ignored which extracts the basename. Tests cover semicolon split, multi-pattern, char class, defaults, malformed class, and hand-traced C-equivalence vectors."
fs,psync_check_and_create_folder,pclsync/psynclib.h:1545,crates/pcloud-backends/src/folder_backend.rs:319 (FolderRuntime::check_and_create_folder) + crates/pcloud-daemon/src/runtime.rs:590 (create_remote_folder with check_and_create=true) + crates/pcloud-sdk/src/lib.rs (EmbeddedDaemon::check_and_create_folder),Implemented,"Ports C pbusinessaccount.c:803 suffix-retry helper. First attempt uses createfolderifnotexists with the bare name; on any non-zero result it walks name 2/name 3/... up to SUFFIX_RETRY_BUDGET=10 (tightened from the C cap of 100 for enterprise sanity). Auth passed via SecretString (zeroized on drop). Dev-transport tests cover happy path, adopt-existing, and suffix-walk (check_and_create_folder_walks_suffix_until_success)."
fs,psync_create_remote_folder,pclsync/psynclib.h:839,crates/pcloud-proto/src/folder_api.rs:245 (FolderApi::create_folder) + crates/pcloud-backends/src/folder_backend.rs:287 (FolderRuntime::create_remote_folder) + crates/pcloud-daemon/src/runtime.rs:590 (Request::CreateRemoteFolder dispatch) + crates/pcloud-cli/src/app.rs (folder create <path>) + crates/pcloud-sdk/src/lib.rs (EmbeddedDaemon::create_remote_folder),Implemented,"Ports C psynclib.c:1020 folders/createfolder wire call. parent_folder_id + name path. IPC Request::CreateRemoteFolder with parent_folder_id=Some(id), check_and_create=false. Proto, daemon, IPC, CLI, and SDK all wired. Dev-transport tests cover happy path and conflict (create_remote_folder_dev_happy_path, create_remote_folder_dev_conflict_surfaces_error). Auth token threaded through SecretString."
fs,psync_create_remote_folder_by_path,pclsync/psynclib.h:837,crates/pcloud-proto/src/folder_api.rs:264 (FolderApi::create_folder_by_path) + crates/pcloud-backends/src/folder_backend.rs:299 (FolderRuntime::create_remote_folder_by_path) + crates/pcloud-daemon/src/runtime.rs:590 (Request::CreateRemoteFolder with parent_folder_id=None) + crates/pcloud-cli/src/app.rs (folder create <path>) + crates/pcloud-sdk/src/lib.rs (EmbeddedDaemon::create_remote_folder_by_path),Implemented,"Ports C psynclib.c:1006 folders/createfolder wire call with the path form (no parent_folder_id). CLI surface is pcloud-rs folder create <path>. Runtime rejects non-absolute paths. Dev-transport test create_remote_folder_by_path_dev_happy_path covers the happy encode/decode."
fs,psync_filesystem_status,pclsync/psynclib.h:1293,crates/pcloud-backends/src/path_resolver.rs:400 (filesystem_status + FsPathStatus + FilesystemStatusInputs + SyncRootView) + crates/pcloud-daemon/src/runtime.rs (Request::FilesystemStatus) + crates/pcloud-sdk/src/lib.rs (EmbeddedDaemon::filesystem_status + FilesystemPathStatus) + crates/pcloud-cli/src/app.rs (fs status),Implemented,"C at psynclib.c:1903 maps ppathstatus codes to external_status_t {INSYNC,INPROG,NOSYNC,INVSYNC}. The Rust classifier is pure/metadata-only: longest-prefix match against tracked_sync_roots (store.repositories.sync_graph), paused (persisted or engine-side is_sync_root_paused) -> NOSYNC, PlannedOperation::Conflict -> NOSYNC (C remote/local-full + unrecoverable), any other queued_operations -> INPROG, otherwise INSYNC; paths outside any root -> INVSYNC. Response message is exactly the C token string for parity. Tests: daemon tests::filesystem_status_{rejects_empty_path,outside_any_sync_root_returns_invsync,within_idle_sync_root_returns_insync,in_paused_sync_root_returns_nosync}; sdk tests::filesystem_status_classifies_against_sync_root_snapshot; cli tests::fs_status_two_token_forwards_local_path."
fs,mounted pcloud filesystem,pclsync_lib.cpp:702,crates/pcloud-fs/src/mount_service.rs + fuser_shim.rs + fuse_adapter.rs + backend.rs + platform/linux.rs + pcloud-daemon/src/mount_runtime.rs,Implemented,"Full read+write FUSE mount wired through both paths: (1) PcloudFsShim (fuser_shim.rs) delegates create/write/flush/fsync/setattr/unlink/rename/mkdir/rmdir to WritePathService. (2) BoxedFuserShim + FuserShim<A> (platform/linux.rs) now forward all write-path ops through the dyn FuseAdapter trait instead of returning ENOSYS — adapters with a WritePathService attached (ProtoFuseAdapter::with_write_path) get full write support; adapters without one get trait-default ENOSYS (read-only). FuseAdapter trait (fuse_adapter.rs) exposes the write-op family (create/write/flush_write/fsync_write/truncate/unlink/rename/mkdir/rmdir) with ENOSYS defaults; ProtoFuseAdapter implements them via WriteDelegate. ProtoUploadBackend (backend.rs) drives upload_create+upload_write+upload_save and wires deletefile/renamefile via TransferApi. MountService::mount_fuser and MountService::mount both produce writable mounts when the adapter supports it. Gated integration: PCLOUD_FUSE_TEST=1 exercises kernel create+write+fsync+unlink+rename+unmount via PcloudFsShim (fuse_mount_integration.rs), via FuserShim (fuse_dyn_shim_write.rs), and via fuse_kernel_e2e.rs (64 MiB round-trip). Chunked upload_write pipelining for sustained multi-GiB writes is a performance follow-up, not a parity gap."
fs,psync_get_folder_ownerid,pclsync/psynclib.h:1525,crates/pcloud-backends/src/path_resolver.rs:289 (RemotePathResolver::get_folder_owner_id) + crates/pcloud-daemon/src/runtime.rs (Request::GetFolderOwnerId) + crates/pcloud-sdk/src/lib.rs (EmbeddedDaemon::get_folder_owner_id) + crates/pcloud-cli/src/app.rs (folder owner),Implemented,"C at psynclib.c:2088 reads owner userid from the local folder cache used during business-share diff. The Rust active path resolves through `listfolder` and reads the `userid` metadata field; returns UserId rather than the C `psync_userid_t`. Missing field surfaces as typed MissingId error, not as a synthesized 0. Auth token wrapped in SecretString (zeroised on drop). Tests: daemon tests::path_resolver_public_helpers_use_mocked_listfolder; daemon tests::get_folder_owner_id_rejects_missing_auth; sdk tests::folder_metadata_helpers_*; cli tests::folder_owner_two_token_forwards_path."
transfers,psync_upload_data,pclsync/psynclib.h:1109,crates/pcloud-sdk/src/lib.rs,Implemented,""
transfers,psync_upload_data_as,pclsync/psynclib.h:1111,crates/pcloud-sdk/src/lib.rs,Implemented,""
transfers,psync_upload_file,pclsync/psynclib.h:1114,crates/pcloud-sdk/src/lib.rs,Implemented,""
transfers,psync_upload_file_as,pclsync/psynclib.h:1116,crates/pcloud-sdk/src/lib.rs,Implemented,""
transfers,getfilelink,pclsync/pdownload.c,crates/pcloud-proto/src/transfer_api.rs:62 + crates/pcloud-sdk/src/lib.rs,Implemented,"SDK exposes EmbeddedDaemon::get_file_link() and EmbeddedDaemon::download_file()"
